"","date","year","quartly","catalogue","type","sales2","cost2","profit2","area","city"
"1",2011-01-01,2011,"Q1","影音周邊","豪華型",6563.342,3109.068,3454.274,"北部","台北市"
"2",2011-04-01,2011,"Q2","影音周邊","豪華型",6423.279,6125.763,297.516,"北部","台北市"
"3",2011-07-01,2011,"Q3","影音周邊","豪華型",4460.366,6954.413,-2494.047,"北部","台北市"
"4",2011-10-01,2011,"Q4","影音周邊","豪華型",4493.51,2325.239,2168.271,"北部","台北市"
"5",2011-01-01,2011,"Q1","照相機與攝影機","豪華型",5888.005,8114.816,-2226.811,"北部","台北市"
"6",2011-04-01,2011,"Q2","照相機與攝影機","豪華型",6423.279,8773.864,-2350.585,"北部","台北市"
"7",2011-07-01,2011,"Q3","照相機與攝影機","豪華型",4460.366,2251.142,2209.224,"北部","台北市"
"8",2011-10-01,2011,"Q4","照相機與攝影機","豪華型",4993.51,2401.175,2592.335,"北部","台北市"
"9",2011-01-01,2011,"Q1","行動及無線電話","豪華型",59043.608,71287.368,-12243.76,"北部","台北市"
"10",2011-04-01,2011,"Q2","行動及無線電話","豪華型",64411.209,76375.812,-11964.603,"北部","台北市"
"11",2011-07-01,2011,"Q3","行動及無線電話","豪華型",44797.004,14810.165,29986.839,"北部","台北市"
"12",2011-10-01,2011,"Q4","行動及無線電話","豪華型",50143.251,68711.111,-18567.86,"北部","台北市"
"13",2011-01-01,2011,"Q1","電腦","豪華型",102222.313,38956.567,63265.746,"北部","台北市"
"14",2011-04-01,2011,"Q2","電腦","豪華型",120890.25,95382.672,25507.578,"北部","台北市"
"15",2011-07-01,2011,"Q3","電腦","豪華型",120839.688,189890.524,-69050.836,"北部","台北市"
"16",2011-10-01,2011,"Q4","電腦","豪華型",130095.656,182545.602,-52449.946,"北部","台北市"
"17",2011-01-01,2011,"Q1","遊戲及玩具","豪華型",136800.033,85093.354,51706.679,"北部","台北市"
"18",2011-04-01,2011,"Q2","遊戲及玩具","豪華型",16952.377,8544.834,8407.543,"北部","台北市"
"19",2011-07-01,2011,"Q3","遊戲及玩具","豪華型",15660.824,13742.949,1917.875,"北部","台北市"
"20",2011-10-01,2011,"Q4","遊戲及玩具","豪華型",16860.397,4890.758,11969.639,"北部","台北市"
"21",2011-01-01,2011,"Q1","家用周邊配件","豪華型",65422.28,17160.659,48261.621,"北部","台北市"
"22",2011-04-01,2011,"Q2","家用周邊配件","豪華型",71369.76,90221.191,-18851.431,"北部","台北市"
"23",2011-07-01,2011,"Q3","家用周邊配件","豪華型",77337.4,76494.509,842.891,"北部","台北市"
"24",2011-10-01,2011,"Q4","家用周邊配件","豪華型",83261.22,15529.491,67731.729,"北部","台北市"
"25",2011-01-01,2011,"Q1","音樂、電影及有聲書","豪華型",2616.891,3188.096,-571.205,"北部","台北市"
"26",2011-04-01,2011,"Q2","音樂、電影及有聲書","豪華型",2854.791,2632.995,221.796,"北部","台北市"
"27",2011-07-01,2011,"Q3","音樂、電影及有聲書","豪華型",3093.496,3892.988,-799.492,"北部","台北市"
"28",2011-10-01,2011,"Q4","音樂、電影及有聲書","豪華型",3330.449,3210.182,120.267,"北部","台北市"
"29",2011-01-01,2011,"Q1","電視及影片","豪華型",17991.127,27564.35,-9573.223,"北部","台北市"
"30",2011-04-01,2011,"Q2","電視及影片","豪華型",21589.353,22064.011,-474.658,"北部","台北市"
"31",2011-07-01,2011,"Q3","電視及影片","豪華型",23394.564,26362.224,-2967.66,"北部","台北市"
"32",2011-10-01,2011,"Q4","電視及影片","豪華型",25186.519,20531.205,4655.314,"北部","台北市"
"33",2012-01-01,2012,"Q1","影音周邊","豪華型",6611.674,5504.179,1107.495,"北部","台北市"
"34",2012-04-01,2012,"Q2","影音周邊","豪華型",7556.199,10479.707,-2923.508,"北部","台北市"
"35",2012-07-01,2012,"Q3","影音周邊","豪華型",4958.755,3532.116,1426.639,"北部","台北市"
"36",2012-10-01,2012,"Q4","影音周邊","豪華型",4346.29,781.003,3565.287,"北部","台北市"
"37",2012-01-01,2012,"Q1","照相機與攝影機","豪華型",6611.674,3803.76,2807.914,"北部","台北市"
